Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SanityTestSuite,Firefox 67.0,,2019-07-22 13:14:47,2019-07-22 13:21:52,7m - 4.733s,INCOMPLETE
,,,,,,
Test Cases/userlogin,Firefox 67.0,,2019-07-22 13:14:47,2019-07-22 13:15:05,17.350s,PASSED
"openBrowser("""")",Firefox 67.0,,2019-07-22 13:14:48,2019-07-22 13:14:56,8.633s,PASSED
"navigateToUrl(""http://localhost:8090/eclinic/"")",Firefox 67.0,,2019-07-22 13:14:56,2019-07-22 13:14:57,0.741s,PASSED
delay(5),Firefox 67.0,,2019-07-22 13:14:57,2019-07-22 13:15:02,5.044s,PASSED
"setText(findTestObject(""Components/logins/input_MEDAS HIS_user_name""), ""Admin"")",Firefox 67.0,,2019-07-22 13:15:02,2019-07-22 13:15:02,0.098s,PASSED
"setText(findTestObject(""Components/logins/input_MEDAS HIS_user_password""), ""12345"")",Firefox 67.0,,2019-07-22 13:15:02,2019-07-22 13:15:02,0.057s,PASSED
"click(findTestObject(""Components/Buttons/login""))",Firefox 67.0,,2019-07-22 13:15:02,2019-07-22 13:15:03,0.894s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/officeselection""))",Firefox 67.0,,2019-07-22 13:15:03,2019-07-22 13:15:03,0.273s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/selectoffice""))",Firefox 67.0,,2019-07-22 13:15:03,2019-07-22 13:15:04,0.276s,PASSED
"click(findTestObject(""Components/Buttons/go""))",Firefox 67.0,,2019-07-22 13:15:04,2019-07-22 13:15:05,0.984s,PASSED
,,,,,,
Test Cases/registrationlists,Firefox 67.0,,2019-07-22 13:15:05,2019-07-22 13:15:42,37.711s,PASSED
"click(findTestObject(""Object Repository/registrationlists/span_Front Desk""))",Firefox 67.0,,2019-07-22 13:15:05,2019-07-22 13:15:06,1.133s,PASSED
"click(findTestObject(""Object Repository/registrationlists/span_Registration""))",Firefox 67.0,,2019-07-22 13:15:06,2019-07-22 13:15:07,0.962s,PASSED
"click(findTestObject(""Object Repository/registrationlists/span_Registration List""))",Firefox 67.0,,2019-07-22 13:15:07,2019-07-22 13:15:08,0.918s,PASSED
"setText(findTestObject(""Object Repository/registrationlists/input_Action_op_number""), ""DMC01-035984"")",Firefox 67.0,,2019-07-22 13:15:08,2019-07-22 13:15:08,0.174s,PASSED
"sendKeys(findTestObject(""Object Repository/registrationlists/input_Action_op_number""), Keys.chord(ENTER))",Firefox 67.0,,2019-07-22 13:15:08,2019-07-22 13:15:08,0.038s,PASSED
delay(3),Firefox 67.0,,2019-07-22 13:15:08,2019-07-22 13:15:11,3.010s,PASSED
"setText(findTestObject(""Object Repository/registrationlists/input_Action_op_number""), """")",Firefox 67.0,,2019-07-22 13:15:11,2019-07-22 13:15:11,0.071s,PASSED
delay(3),Firefox 67.0,,2019-07-22 13:15:11,2019-07-22 13:15:14,3.007s,PASSED
"setText(findTestObject(""Object Repository/registrationlists/input_Action_fromdate""), ""01-01-2016"")",Firefox 67.0,,2019-07-22 13:15:14,2019-07-22 13:15:14,0.112s,PASSED
delay(3),Firefox 67.0,,2019-07-22 13:15:14,2019-07-22 13:15:17,3.005s,PASSED
"setText(findTestObject(""Object Repository/registrationlists/input_Action_todate""), ""01-01-2019"")",Firefox 67.0,,2019-07-22 13:15:17,2019-07-22 13:15:17,0.088s,PASSED
delay(3),Firefox 67.0,,2019-07-22 13:15:17,2019-07-22 13:15:20,3.003s,PASSED
"setText(findTestObject(""Object Repository/registrationlists/input_Action_patient_name""), ""salama"")",Firefox 67.0,,2019-07-22 13:15:20,2019-07-22 13:15:20,0.072s,PASSED
"sendKeys(findTestObject(""Object Repository/registrationlists/input_Action_patient_name""), Keys.chord(ENTER))",Firefox 67.0,,2019-07-22 13:15:20,2019-07-22 13:15:20,0.085s,PASSED
delay(3),Firefox 67.0,,2019-07-22 13:15:20,2019-07-22 13:15:23,3.003s,PASSED
"setText(findTestObject(""Object Repository/registrationlists/input_Action_patient_name""), """")",Firefox 67.0,,2019-07-22 13:15:23,2019-07-22 13:15:24,0.047s,PASSED
"setText(findTestObject(""Object Repository/registrationlists/input_Action_startDate""), ""01-01-2017"")",Firefox 67.0,,2019-07-22 13:15:24,2019-07-22 13:15:24,0.062s,PASSED
delay(3),Firefox 67.0,,2019-07-22 13:15:24,2019-07-22 13:15:27,3.003s,PASSED
"sendKeys(findTestObject(""Object Repository/registrationlists/input_Action_startDate""), Keys.chord(ENTER))",Firefox 67.0,,2019-07-22 13:15:27,2019-07-22 13:15:27,0.076s,PASSED
delay(3),Firefox 67.0,,2019-07-22 13:15:27,2019-07-22 13:15:30,3.000s,PASSED
