Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
registration,Firefox 64.0,,2019-03-13 10:38:41,2019-03-13 10:39:33,51.592s,PASSED
,,,,,,
Test Cases/cashregistration,Firefox 64.0,,2019-03-13 10:38:42,2019-03-13 10:39:33,51.191s,PASSED
"openBrowser("""")",Firefox 64.0,,2019-03-13 10:38:42,2019-03-13 10:38:50,7.905s,PASSED
"navigateToUrl(""http://localhost:8090/eclinic/"")",Firefox 64.0,,2019-03-13 10:38:50,2019-03-13 10:38:53,2.680s,PASSED
delay(5),Firefox 64.0,,2019-03-13 10:38:53,2019-03-13 10:38:58,5.059s,PASSED
"setText(findTestObject(""Object Repository/cashregister/Page_eClinic/input_MEDAS HIS_user_name""), username)",Firefox 64.0,,2019-03-13 10:38:58,2019-03-13 10:38:58,0.218s,PASSED
"setText(findTestObject(""Object Repository/cashregister/Page_eClinic/input_MEDAS HIS_user_password""), password)",Firefox 64.0,,2019-03-13 10:38:58,2019-03-13 10:38:58,0.103s,PASSED
"click(findTestObject(""Object Repository/cashregister/Page_eClinic/a_Log In""))",Firefox 64.0,,2019-03-13 10:38:58,2019-03-13 10:39:00,1.939s,PASSED
"click(findTestObject(""Object Repository/cashregister/Page_eClinicUserAdministrator/span_Damas Medical Center""))",Firefox 64.0,,2019-03-13 10:39:00,2019-03-13 10:39:00,0.300s,PASSED
"click(findTestObject(""Object Repository/cashregister/Page_eClinicUserAdministrator/li_Damas Medical Center""))",Firefox 64.0,,2019-03-13 10:39:00,2019-03-13 10:39:01,0.367s,PASSED
"click(findTestObject(""Object Repository/cashregister/Page_eClinicUserAdministrator/input_English_go""))",Firefox 64.0,,2019-03-13 10:39:01,2019-03-13 10:39:02,1.084s,PASSED
"click(findTestObject(""Object Repository/cashregister/Page_eClinicUserAdministrator/span_Front Desk""))",Firefox 64.0,,2019-03-13 10:39:02,2019-03-13 10:39:04,2.408s,PASSED
delay(3),Firefox 64.0,,2019-03-13 10:39:04,2019-03-13 10:39:07,3.010s,PASSED
"click(findTestObject(""cashregister/Page_eClinicUserAdministrator/span_Registration""))",Firefox 64.0,,2019-03-13 10:39:07,2019-03-13 10:39:09,1.916s,PASSED
delay(3),Firefox 64.0,,2019-03-13 10:39:09,2019-03-13 10:39:12,3.006s,PASSED
"click(findTestObject(""Object Repository/cashregister/Page_eClinicUserAdministrator/span_No""))",Firefox 64.0,,2019-03-13 10:39:12,2019-03-13 10:39:13,0.383s,PASSED
"click(findTestObject(""Object Repository/cashregister/Page_eClinicUserAdministrator/li_No""))",Firefox 64.0,,2019-03-13 10:39:13,2019-03-13 10:39:13,0.328s,PASSED
